SpMax_L,J_Dz(e),nHM,F01,F04,NssssC,nCb,C,nCp,nO,F03,SdssC,HyWi_B,LOC,SM6_L,F03_CO,Me,Mi,nN_N,nArNO2,nCRX3,SpPosA_B,nCIR,B01,B03,N_073,SpMax_A,Psi_i_1d,B04,SdO,TI2_L,nCrt,C_026,F02_CN,nHDon,SpMax_B,Psi_i_A,nN,SM6_B,nArCOOR,nX,Biodegradable
4.538782077074471,3.107660929149264,0.0,0.0,0.0,0.0,1.0,,0.0,2.0,0.0,0.0,3.059135537815018,1.1926553718487485,9.481839567489258,4.0,1.008259194065152,1.1114138429621871,0.0,0.0,0.0,1.2979396177783595,1.0,0.0,0.0,0.0,2.1791546488970353,-0.04620764443280695,0.0,9.996409505251906,1.5270338844537545,0.0,0.0,0.0,0.0,3.657715754070389,2.622384296218713,0.0,8.075705475577667,0.0,0.0,RB
4.514712468271469,3.6775255608051554,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,-0.10566771317690943,3.0776885027391803,1.9146645372068918,9.317311515480464,3.0,1.0085878584353547,1.1412923321228463,0.0,0.0,0.0,1.2006677313965541,0.0,0.0,0.0,0.0,2.048196488213336,-0.0543418511724325,0.0,10.46768372056451,2.910113439282119,0.0,0.0,0.0,0.0,3.486488820336182,2.842464836584249,0.0,7.892369010894384,0.0,,RB
4.638491586323175,4.00913775782037,0.0,0.0,0.0,0.0,0.0,31.281009218355074,1.0,3.0,0.0,0.14563048972197157,3.384036894563493,2.1403049395061156,9.894046656418466,5.0,0.991265870943029,1.1450759631265797,0.0,0.0,0.0,1.1834302765506521,0.0,0.0,0.0,0.0,2.117784046474826,0.004379815632898534,0.0,10.944819854038522,3.9421530132529563,0.0,0.0,0.0,1.0,,,0.0,8.12085892260161,0.0,0.0,RB
4.898614048266181,3.125883036883521,0.0,0.0,1.0,0.0,2.0,39.77127403476431,0.0,2.0,2.0,-0.9202152779913954,3.341789797296109,1.3802470636994009,9.974237580115881,4.0,1.013221020270389,1.129254139961373,0.0,0.0,0.0,1.2150165598454918,1.0,0.0,0.0,0.0,2.2686853629356527,-0.004950320463524144,0.0,10.499829326257576,1.9102717731454346,0.0,1.0,2.0,1.0,3.697624865832679,2.7707127403476433,1.0,8.322729300193135,0.0,,RB
3.9243205833655486,3.496478387484783,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,-1.3809967132195793,2.7509048689678854,1.274661239701587,8.452262033345434,4.0,1.09,1.139,0.0,0.0,0.0,1.1363926837976002,0.0,0.0,0.0,0.0,1.8278411871320126,-0.37912412789361305,0.0,18.43278642918715,2.2425894174180945,0.0,0.0,0.0,2.0,,4.3170756143587425,0.0,7.623459879560165,0.0,,RB
4.876572341124297,3.3515192693528406,0.0,0.0,0.0,0.0,2.0,41.18267768443925,0.0,4.0,0.0,-2.415256413433629,,1.2957049068705704,10.12895559167196,10.0,1.0666326168733637,1.127,0.0,0.0,0.0,1.180270303141122,1.0,0.0,0.0,0.0,2.2846510189915876,0.0045958126369157835,0.0,20.678762647922436,2.080751190657962,,0.0,0.0,0.0,3.7780133327238303,3.44474622351775,0.0,8.549073608472897,2.0,0.0,RB
4.347,3.0657705030704876,0.0,0.0,0.0,0.0,0.0,32.210790571263225,,2.0,0.0,-0.14793782979652298,3.4431601246538115,2.718170075916109,9.577498266084863,3.0,0.9809154646422371,1.1410422676788814,0.0,0.0,0.0,1.1834271498196718,0.0,0.0,0.0,0.0,2.016361511785921,0.0019577323211185434,0.0,10.736343619662492,5.585938382768583,0.0,0.0,0.0,0.0,3.3780701110646083,2.1431257978360607,0.0,7.95336151178592,0.0,,RB
4.807697902290025,3.3211569733219366,0.0,0.0,0.0,0.0,1.0,37.81311405326074,1.0,2.0,0.0,-0.2250075764576318,3.356608961384406,1.961772993927902,9.87971067222306,2.0,1.0029335641544623,1.1288671283089247,0.0,0.0,0.0,1.223,1.0,0.0,0.0,0.0,2.1938428920903754,0.021872321784328207,0.0,11.029492321943302,3.271616537842038,0.0,0.0,2.0,1.0,3.6431086354725255,2.658767148628738,1.0,8.248070549986235,0.0,0.0,RB
4.5484911863054,4.125793255113405,0.0,0.0,0.0,0.0,0.0,10.34461259425,1.0,2.0,0.0,-0.7217876211533749,2.9626647395558754,0.9198264467495251,9.163771240717525,0.0,1.0809661622172502,1.175,0.0,0.0,0.0,1.1478646488689999,,0.0,0.0,0.0,1.9947618885674,-0.249360199511125,0.0,9.45348744544535,1.5217236864479249,0.0,0.0,0.0,2.0,4.273193504504075,4.144036955166125,0.0,8.776343819075276,0.0,,RB
4.843618683386066,2.921537613827556,1.0,0.0,0.0,0.0,2.0,39.245293908326566,2.0,3.0,0.0,-0.6438195306271354,3.7750283893921623,1.8540293315251857,10.280057839532292,6.0,1.025577453189886,1.1265441159027214,0.0,0.0,0.0,1.2275774531898862,1.0,0.0,0.0,0.0,2.2841215690926076,0.00045588409727856903,0.0,22.225593943911054,3.261858639327383,0.0,0.0,0.0,1.0,3.7702099195129932,2.751864766585294,0.0,8.905809872067016,0.0,0.0,RB
4.9603029435837405,2.736274794427317,0.0,0.0,0.0,0.0,2.0,52.42544392845528,0.0,2.0,0.0,-0.8543832672780545,3.523450840039026,0.9668839229398408,10.265957335050407,2.0,1.009457990712195,1.0989491121430894,0.0,0.0,0.0,1.2951349064325206,3.0,0.0,0.0,0.0,2.3576769157203255,0.0011526635707316784,0.0,10.64866392569756,1.7337572394146394,0.0,0.0,0.0,1.0,3.8751987843121958,2.5854200928780493,0.0,8.667125372201628,0.0,0.0,RB
4.347,3.2334283533463815,0.0,0.0,0.0,0.0,0.0,31.238387825467523,1.0,2.0,0.0,-0.1335740947699581,3.351851810460084,2.538677816087873,9.474874421062637,4.0,0.9887451459067967,1.144564512080736,0.0,0.0,0.0,1.1733838782546753,,0.0,0.0,0.0,2.0139225855031166,0.007667731409913569,0.0,10.662619566969434,4.958214333084049,0.0,0.0,0.0,0.0,,2.302138355856325,0.0,7.907838782546752,0.0,0.0,RB
4.543696639901185,2.7906707724586424,0.0,0.0,0.0,0.0,2.0,50.0,0.0,1.0,0.0,0.0,,1.2770155592253725,9.429780382172247,2.0,0.985,1.109,0.0,0.0,0.0,1.3408734484141183,1.0,0.0,0.0,0.0,2.1652990012028286,-0.021440448013175413,0.0,0.0,1.9342717511133816,0.0,0.0,0.0,1.0,3.6051650020047137,2.3670955487792824,0.0,8.149450984341653,0.0,0.0,RB
4.475124318949486,3.5934507749847846,0.0,0.0,0.0,0.0,0.0,32.31899241192183,2.0,3.0,0.0,-0.4517509889521903,3.1511123523042324,1.988733947051662,9.478571215343521,5.0,1.0084722726704083,1.1405092424431973,0.0,0.0,0.0,1.181079014800852,0.0,0.0,0.0,0.0,2.0558419703982955,0.04589924119218307,0.0,20.824639706484987,3.215881452993979,0.0,0.0,0.0,0.0,3.4524117427559506,2.9156288592862465,0.0,7.950428411507641,0.0,0.0,RB
4.4113327274497784,3.4622669616704678,0.0,0.0,0.0,0.0,0.0,22.657262009904844,1.0,2.0,0.0,-1.086862013321463,2.9573905687162627,1.5532469592788347,9.222432815769848,0.0,1.0499755215068725,1.1675887578988369,0.0,0.0,0.0,1.0616939253909075,0.0,0.0,0.0,0.0,,0.2222237548494812,0.0,9.676367720983805,2.8157287320349376,0.0,0.0,0.0,1.0,3.3832988210895327,3.754219949741254,0.0,7.727810151510766,0.0,0.0,RB
4.095823477371774,2.8763664794258474,0.0,0.0,0.0,0.0,0.0,21.4,2.0,2.0,0.0,0.0,2.5760175001671275,1.478054191132231,8.524045525885617,1.0,1.0249021008684247,1.1655122373914468,0.0,0.0,0.0,1.0204055881763079,0.0,0.0,0.0,0.0,1.871510504342124,-0.06306298363426943,0.0,0.0,1.8505541699229937,0.0,0.0,0.0,2.0,3.0324370799934424,3.4128986771882537,1.0,6.843713319639515,0.0,0.0,RB
4.56303068942488,3.1041588847280246,0.0,0.0,0.0,0.0,0.0,36.36115636921288,1.0,2.0,0.0,1.3955602277090755,3.2836160722854415,1.94522225665595,9.763481452786708,1.0,0.9838970181303427,1.1324742545325857,0.0,0.0,0.0,1.232463418413458,,0.0,0.0,0.0,2.1285925811146833,0.00857723640224299,0.0,10.545326031778027,3.256957603727684,0.0,0.0,0.0,0.0,3.4671526538719837,2.3044742545325856,0.0,8.067822036024756,0.0,0.0,RB
4.804490013456754,3.3041186864032395,0.0,0.0,0.0,0.0,2.0,39.42531144005399,0.0,2.0,0.0,0.0,3.1518004737502645,1.2223391332399955,9.706682024222157,4.0,1.0008653351275671,1.1286571090178381,0.0,0.0,0.0,1.22474688559946,1.0,0.0,0.0,0.0,2.2339388963648634,-0.006375321670813115,0.0,0.0,1.3952493566583737,0.0,2.0,0.0,2.0,3.67125311440054,2.2758404199232483,0.0,8.078473798112428,0.0,,RB
4.276698345438549,3.015198689035826,0.0,,0.0,0.0,0.0,31.14983064078213,2.0,3.0,0.0,0.12550174238058864,2.5980610668952537,1.1494136267988857,8.870305188111038,2.0,0.985064405291201,1.1431254233980446,0.0,0.0,0.0,1.2082440724273744,0.0,0.0,0.0,0.0,1.9144678217486044,0.2593626726682944,0.0,9.832528937432269,1.8004373858777976,0.0,0.0,0.0,0.0,3.243406803641761,,0.0,7.238349221507685,0.0,0.0,RB
4.4047359082775195,3.4088558702466303,0.0,0.0,0.0,0.0,0.0,33.17359082775192,,4.0,0.0,-0.23782608053738763,4.61214493288551,4.4671739194626126,10.767616749440549,8.0,,1.1375587762863446,0.0,0.0,0.0,1.2068824474273105,0.0,0.0,0.0,0.0,2.082647342281932,0.0,0.0,23.904293078299585,17.350362369123797,0.0,0.0,0.0,0.0,3.535252847872513,1.8744138434008344,0.0,9.147082140938464,0.0,0.0,RB
4.705738114411666,2.9137093571914776,0.0,0.0,0.0,0.0,2.0,41.85769787874438,,1.0,0.0,0.0,,1.1857884893937218,9.783044581087903,2.0,0.9742791386340798,1.120605755303139,0.0,0.0,0.0,1.2765280522789262,,0.0,0.0,0.0,2.2194417227318404,-0.0021928090869939576,0.0,0.0,1.662728039415255,0.0,1.0,0.0,1.0,3.6416633083345293,2.0436216241937024,0.0,8.05382589243229,0.0,0.0,RB
4.8787493884242545,3.239952447007464,0.0,0.0,0.0,0.0,2.0,44.4,0.0,4.0,0.0,-2.243598042957616,,1.258,10.136,4.0,,1.116,0.0,0.0,0.0,1.194,1.0,0.0,0.0,0.0,,0.005,0.0,20.758117266928817,2.0192890595181496,0.0,0.0,0.0,0.0,3.7612686123954573,3.389,0.0,8.529,0.0,0.0,RB
5.121909693748507,3.644432181035133,1.0,0.0,0.0,0.0,0.0,19.592474479042252,0.0,2.0,0.0,0.0,3.151365770077296,1.2887977052215214,9.906777736361464,4.0,1.0460717532193802,1.1513923701709297,0.0,0.0,0.0,1.1516492809646197,0.0,0.0,0.0,0.0,2.164166604542197,-0.08355092765160564,0.0,20.030534460781748,1.9166430224778597,0.0,0.0,0.0,0.0,4.688015051041916,3.4512894717865916,0.0,9.305581029735436,0.0,0.0,RB
4.830834009171067,3.200088231737688,0.0,0.0,0.0,0.0,2.0,44.23542987793197,1.0,2.0,0.0,-0.9381023323639923,3.2450342378091612,1.185,9.88995422256662,4.0,,1.11627428353678,0.0,0.0,0.0,1.236754374992018,1.0,0.0,0.0,0.0,,0.014274283536780051,0.0,10.328040198153015,1.6522631249760538,0.0,0.0,0.0,1.0,,2.9097134147120203,0.0,8.284131371956281,0.0,0.0,RB
4.722817372443708,2.828159710518606,0.0,0.0,0.0,0.0,1.0,46.59445255682424,1.0,1.0,0.0,0.0,3.5164718232910137,1.0617151849503637,9.747547443175767,0.0,,1.103422189772703,0.0,0.0,0.0,1.331883649716145,1.0,0.0,0.0,0.0,2.198432992613382,-0.022361313920605808,0.0,0.0,1.8642897769768685,0.0,0.0,0.0,0.0,3.9784668613637812,2.324752555399633,0.0,8.830467882099034,0.0,0.0,RB
4.464796373257989,4.1829952647328135,0.0,0.0,0.0,0.0,0.0,32.81038134818394,2.0,4.0,0.0,-1.2844689319257994,3.89195668412159,3.058993409248324,10.196439026404054,4.0,1.012568974039283,1.1400880414484802,0.0,0.0,0.0,1.156887005236477,0.0,0.0,0.0,0.0,2.104318031197194,0.0,0.0,22.427173950073577,6.907254943063757,0.0,0.0,0.0,0.0,,2.567164082231957,0.0,8.593462570027436,0.0,0.0,RB
4.545900966777489,2.9163081115464498,0.0,0.0,0.0,0.0,0.0,31.43303675091457,0.0,1.0,0.0,0.2897827208180905,2.8002795614898495,1.1218765964084398,9.377832365813067,2.0,0.9900177949451258,1.1453392649817085,0.0,0.0,0.0,1.2050774984369848,1.0,0.0,0.0,0.0,2.1191004510142726,0.014691167276380826,0.0,10.390909864250052,1.4567988412040136,0.0,0.0,0.0,0.0,3.4123774336880413,,0.0,7.557038168706332,0.0,0.0,RB
4.404172479190388,3.4504243453315797,0.0,0.0,0.0,0.0,0.0,32.93661282343235,2.0,4.0,0.0,-0.24391532058580884,4.45212579528053,4.200368024755572,10.610083455573434,8.0,0.9770105849267738,1.1376021169853547,0.0,0.0,0.0,1.2043872980878714,0.0,0.0,0.0,0.0,2.0823872980878715,0.0,0.0,23.717386074247113,14.483350890984969,0.0,0.0,0.0,0.0,,1.945363007872318,0.0,9.040077214849422,0.0,0.0,RB
4.485190447720974,3.6011641056173884,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,-2.435746522479638,3.064074155072189,1.4738500326030393,9.454867786886172,3.0,1.0759460850898177,1.15063437296231,0.0,0.0,0.0,1.0713226608348023,0.0,0.0,0.0,0.0,,-0.032753980116260774,0.0,19.334525714515653,2.578217316893312,0.0,0.0,0.0,2.0,,4.123310054874924,2.0,7.948977273959119,0.0,,RB
5.021291040607283,2.335004629896583,0.0,0.0,0.0,0.0,0.0,30.961317868465255,,2.0,0.0,-0.45982003723492876,3.9348120691397264,3.2524795425965833,10.569251975041993,2.0,0.9959383761888518,1.1433868213153475,0.0,0.0,0.0,1.1507034795953175,0.0,0.0,0.0,0.0,2.3333422759526576,0.0,0.0,11.424178113523528,7.514481962967153,0.0,0.0,0.0,0.0,3.4917779122428096,,0.0,8.524071373220663,0.0,0.0,RB
4.585916060411491,2.2124939831698915,0.0,0.0,0.0,0.0,1.0,45.36646163135519,1.0,1.0,0.0,0.0,3.710811117735056,0.7914389004557442,10.081655540676728,0.0,,1.110335383686448,0.0,0.0,0.0,1.2831819818704295,1.0,0.0,0.0,0.0,2.19692836253018,0.006670767372896098,0.0,0.0,3.122275299000146,0.0,0.0,0.0,0.0,,2.1735564471552524,0.0,8.71434873704469,0.0,0.0,RB
4.642406532301811,3.983386815143576,0.0,0.0,0.0,0.0,0.0,36.80271393525239,,2.0,0.0,0.04427027755314239,3.08958515561142,1.8372675164748786,9.465232065035586,7.0,1.0040310164028845,1.1309961229496395,0.0,0.0,0.0,1.222937967194231,1.0,0.0,0.0,0.0,2.0834804752516853,0.04748047525168514,0.0,10.528979777769125,2.7330351724462694,0.0,0.0,0.0,0.0,3.5286704507193525,2.81603904949663,0.0,7.957495983453128,0.0,0.0,RB
4.40052207947436,3.9890812716597357,0.0,0.0,0.0,0.0,0.0,32.51299598084783,0.0,4.0,0.0,-1.4869292349631524,3.8123391842868646,3.0600858008597576,10.011072728480059,4.0,1.0329889833292563,1.140762113724531,0.0,0.0,0.0,1.1379141068744967,0.0,0.0,0.0,0.0,2.063735692167895,0.0,0.0,21.689953785342325,6.83654168804391,0.0,0.0,0.0,0.0,3.43812557159333,2.829550649005698,0.0,8.562951545101877,0.0,0.0,RB
5.3093791490722575,2.5740427469982095,0.0,0.0,0.0,0.0,0.0,34.496198581703155,,0.0,0.0,1.4723210876463035,3.2127318204162174,1.1594012766182473,10.382326383191963,0.0,0.9750126713943228,1.1360285106372263,0.0,0.0,0.0,1.2111900709148422,0.0,0.0,0.0,0.0,2.309533286107135,-0.0058120567822368486,0.0,0.0,1.8320781560630157,0.0,0.0,0.0,1.0,3.4775311584100566,,0.0,7.9729313948768015,0.0,0.0,RB
3.942687337527706,2.765803202452476,0.0,0.0,0.0,0.0,0.0,31.72009915577981,2.0,0.0,0.0,0.0,3.302540881648804,2.8214440841012807,9.24207436683486,0.0,0.96,1.1413598016884403,0.0,0.0,0.0,1.2054813881809174,0.0,0.0,0.0,0.0,1.9512059493467886,0.004598016884403762,0.0,0.0,5.521639876545674,0.0,0.0,0.0,0.0,2.96628535441211,1.575635240522569,0.0,7.4687468309955936,0.0,0.0,RB
4.496666470724239,3.2162636768526505,0.0,0.0,0.0,0.0,0.0,27.120939052582873,0.0,3.0,0.0,-1.3099755882477861,2.9815509854566984,1.071887719515814,9.520776026858908,4.0,1.0726702633348757,1.1621203461392955,0.0,0.0,0.0,1.1087954703459255,0.0,0.0,0.0,0.0,2.174528337186326,-0.04521911226933726,0.0,19.872928262578245,1.4970231287042104,0.0,0.0,0.0,5.0,,3.6544915867345287,0.0,7.919854281240815,0.0,0.0,RB
4.692355330573798,1.400817547618558,0.0,0.0,0.0,0.0,0.0,35.80671495976634,0.0,4.0,0.0,-0.9965285633648344,4.668003473628805,1.2002690615411606,11.295176474844588,17.0,1.0082305910959586,1.1345961761130052,0.0,0.0,0.0,1.1792499421061866,,0.0,0.0,0.0,2.427644669426202,0.001201911943497419,0.0,36.52257507381183,8.918414179641324,0.0,0.0,0.0,0.0,3.6446628625601614,2.359054347826625,0.0,9.567685224048686,0.0,0.0,RB
4.838121991079576,3.221777517815359,0.0,0.0,0.0,0.0,3.0,40.99356972400128,,2.0,0.0,-0.2903780434839851,3.3556556425993365,1.4210186155585318,9.969388816839457,4.0,1.0198713944800257,1.1242475963200171,0.0,0.0,0.0,1.2196881009199958,1.0,0.0,0.0,0.0,2.273157449679769,0.007430889880047085,0.0,10.316414660719717,1.8810606885991226,0.0,0.0,0.0,1.0,3.7317716331198456,2.8279747700010702,0.0,8.338919468079684,0.0,,RB
4.8441939297913015,2.894289566248843,0.0,0.0,0.0,0.0,2.0,50.0,0.0,2.0,0.0,-0.7402326727205705,,1.0208466591146936,10.029658052108614,9.0,1.014366953567691,1.1069758097395803,0.0,0.0,0.0,1.2805846659114692,3.0,0.0,0.0,0.0,2.3019013929815952,0.012266092864617988,0.0,10.434516602499547,1.690050634205508,0.0,0.0,0.0,1.0,,2.645492004531184,0.0,8.516877610429118,0.0,0.0,RB
4.698882252713075,3.929713769505606,0.0,0.0,0.0,0.0,0.0,26.647656915577237,0.0,4.0,0.0,-2.86630671436503,3.1414176955123096,1.433998646772071,9.67492911440153,3.0,1.0864618507449069,1.1530923701489815,0.0,0.0,0.0,1.0650762985101867,0.0,0.0,0.0,0.0,2.1199866348170633,0.050444425878182826,0.0,19.416064286555176,2.4219651502665522,,0.0,2.0,2.0,3.492309253724534,4.245895617896011,0.0,8.033756386058574,0.0,0.0,RB
4.424675109103529,2.905571977181933,0.0,0.0,0.0,0.0,0.0,30.8,3.0,2.0,0.0,-0.542424132792226,2.888635672694908,0.9314612144655809,9.476991117209147,2.0,1.0481459912717175,1.144,0.0,0.0,0.0,1.1198540087282822,0.0,0.0,0.0,0.0,2.2011350218207055,-0.0824664407727624,0.0,10.025311566710194,1.1339078029964795,0.0,0.0,0.0,0.0,,2.9183818248116893,0.0,7.72461451870464,0.0,0.0,RB
4.340180873676678,3.68369384381004,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,-0.37886709396075036,2.873098532663992,1.6340401754700207,8.969385731172071,3.0,,1.1401037274422638,0.0,0.0,0.0,1.183960128188225,,0.0,0.0,0.0,1.9766223646535834,0.09724182825978517,0.0,10.09981393154505,2.267625265700965,0.0,0.0,0.0,0.0,3.4254149097690556,3.008510845043912,0.0,7.657601281882251,0.0,0.0,RB
5.081105666705001,3.287566277674375,0.0,0.0,0.0,0.0,2.0,,0.0,4.0,0.0,-1.4441462501437543,3.4462985118705345,1.159640011813033,10.246349541748128,14.0,1.0491811964100888,1.1255319404748214,0.0,0.0,0.0,1.2166167143021434,,0.0,0.0,0.0,2.3486910416906257,0.0042659702374106935,0.0,32.30007237625066,1.5429071843670488,0.0,0.0,0.0,0.0,3.780831654661961,3.2856633093239225,0.0,8.545247481992941,0.0,0.0,RB
4.766423522769345,2.939149548104789,0.0,0.0,0.0,0.0,1.0,47.1,0.0,2.0,0.0,0.0922741637579952,3.182077636430951,1.1290735203053788,9.743608743070892,2.0,,1.11,0.0,0.0,0.0,1.2757916449718496,1.0,0.0,0.0,0.0,2.233408998480767,-0.018115295446131083,0.0,10.56546979222255,1.6203032123351506,0.0,0.0,0.0,0.0,3.6812006434526165,2.5071143965836407,0.0,8.192300515747679,0.0,,RB
4.732,3.019852942496704,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.05025739800722928,3.128697822447826,1.187,9.642,2.0,0.9939807928557975,1.110070742601993,0.0,0.0,0.0,1.2823921272983687,1.0,0.0,0.0,0.0,2.194,-0.02507074260199277,0.0,10.61359028471521,1.659,0.0,0.0,0.0,0.0,,,0.0,8.13405153545779,0.0,0.0,RB
4.410609010262634,3.725103030311506,0.0,0.0,0.0,0.0,0.0,35.284725271453304,1.0,2.0,0.0,1.1993338485816438,2.8185681332750767,1.3929916513487681,9.227101759334595,2.0,0.9848167032574398,1.1340305494570933,0.0,0.0,0.0,1.2573279119439456,0.0,0.0,0.0,0.0,,0.13215890049031567,0.0,10.184659781646358,2.1653824245189828,0.0,0.0,0.0,0.0,3.463395164062981,2.6113931851837484,0.0,7.7174520886515525,0.0,0.0,RB
4.415523335326884,3.2112105450231287,0.0,0.0,0.0,0.0,0.0,33.3,1.0,2.0,0.0,0.01911586704980106,3.935511806646212,3.536598574028793,10.077273474309655,2.0,0.973,1.138,0.0,0.0,0.0,1.203895661630871,,0.0,0.0,0.0,2.056501921446779,0.0,0.0,11.389419552888835,9.380472265848478,0.0,0.0,0.0,0.0,3.386344314186926,1.9065826465234839,0.0,8.404933003016286,0.0,0.0,RB
4.74372261808398,4.222925973470305,0.0,0.0,0.0,0.0,0.0,23.998270256404382,0.0,5.0,0.0,-1.9106700345444625,3.2457347954123144,1.5910044971669013,9.836821282592096,5.0,1.0406931433196895,1.1673267141700776,0.0,0.0,0.0,1.0985618210527521,0.0,0.0,0.0,0.0,2.157596415924665,0.020366429149611988,0.0,20.25599813117784,2.4106015360322868,0.0,0.0,0.0,6.0,3.474564381106563,3.525516294733947,0.0,8.107264581646964,0.0,,RB
4.712438485993109,3.1661962629718277,0.0,0.0,0.0,0.0,2.0,,1.0,2.0,0.0,-0.3623115075736937,3.243288764920957,1.233073352357403,9.776365133635707,,1.021656220810991,1.1163674558900343,0.0,0.0,0.0,1.2316692202886672,1.0,0.0,0.0,0.0,,0.014367455890034173,0.0,10.22340947068041,1.711535515051538,0.0,0.0,0.0,1.0,,2.8097202841510844,0.0,8.231685236123692,0.0,0.0,RB
4.390621886397427,3.4247098969753114,0.0,0.0,0.0,0.0,0.0,32.42889405542421,2.0,4.0,0.0,-0.13906310175729736,4.236683825684278,3.8699930251773207,10.42664098286578,6.0,0.979644470277121,1.139288940554242,0.0,0.0,0.0,1.1916884755660635,0.0,0.0,0.0,0.0,,0.0,0.0,23.456994187647766,11.601065258110165,0.0,0.0,0.0,0.0,3.471637495454442,2.0198239788442303,0.0,8.793368813839,0.0,0.0,RB
4.64108399198077,3.7058500545413504,0.0,,0.0,0.0,0.0,,0.0,4.0,0.0,-2.1662477589768834,3.087157539046793,1.3424750607870735,9.628698145631839,4.0,1.0661802021950153,1.1619010109750765,0.0,0.0,0.0,1.0868299075557484,0.0,0.0,0.0,0.0,2.1317765799912523,0.026951894892877123,0.0,19.698451392146904,2.1888716872147334,0.0,0.0,0.0,2.0,3.496154760236115,3.9083558522606228,0.0,7.989411288307831,0.0,0.0,RB
4.285320533266474,3.4636174243684703,0.0,0.0,0.0,0.0,0.0,28.6,0.0,4.0,0.0,-1.9106128767903265,2.8793036638141967,1.3236275265778306,9.071613986622713,4.0,1.087337402718751,1.149,0.0,0.0,0.0,1.081668146443182,0.0,0.0,0.0,0.0,1.9493220870318153,0.09904239559717032,0.0,,2.301915652738614,0.0,0.0,0.0,2.0,3.4143347391210233,4.272384459611946,0.0,7.768972476156811,0.0,0.0,RB
4.236,3.1579627489808235,0.0,0.0,0.0,0.0,0.0,34.252966546817994,1.0,2.0,0.0,-0.66913135832902,3.77572881903776,3.284,9.867,4.0,0.97646610237972,1.13653389762028,0.0,0.0,0.0,1.2085296654681799,0.0,0.0,0.0,0.0,1.993,0.0,0.0,10.320334744050701,8.066,0.0,0.0,0.0,1.0,3.32973305118986,2.119652559493,0.0,8.3156440951888,0.0,0.0,RB
4.487012301412507,3.124590032737639,0.0,0.0,0.0,0.0,0.0,33.3,2.0,2.0,0.0,0.0720264735472301,3.8702848457361143,3.360384986040281,10.056512535252784,1.0,0.9740571562194443,1.138,0.0,0.0,0.0,1.2057713751222223,,0.0,0.0,0.0,2.0543566417708354,0.0,0.0,11.039869644704172,8.925349626562529,0.0,0.0,0.0,2.0,,1.9463287651819436,0.0,8.373898924334727,0.0,0.0,RB
4.275521403902611,3.009847728507946,0.0,0.0,0.0,0.0,0.0,21.75123017568091,2.0,2.0,0.0,0.0,2.606885408846764,1.3581762789810097,8.769959895118566,0.0,1.0324546683147175,1.1631735760572213,0.0,0.0,0.0,1.005123693299038,0.0,0.0,0.0,0.0,1.914645097201649,-0.1199457452126439,0.0,0.0,1.7030589849039857,0.0,0.0,0.0,1.0,3.090636670786794,3.6486548750783983,0.0,6.937505226803848,0.0,,RB
4.741004241052732,2.6462962360933915,0.0,0.0,0.0,0.0,0.0,39.096218413108055,1.0,2.0,0.0,-0.954320286221216,3.395852977577054,1.6985546916784298,9.974543117184833,2.0,1.0079432761966207,1.1299716380983102,0.0,0.0,0.0,1.2180472698361493,1.0,0.0,0.0,0.0,2.2127374094439296,0.003952730163850667,0.0,,2.823782735556546,0.0,0.0,2.0,1.0,3.5864937268223187,2.761712139930372,1.0,8.320730076003066,0.0,0.0,RB
4.668192976465604,2.500636647411625,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,3.0758437558230973,0.16092211595781653,9.586671236211101,0.0,,1.1104013020348076,0.0,0.0,0.0,1.2472136713654791,1.0,0.0,1.0,0.0,2.2984391987012707,-0.0056605446185497964,0.0,0.0,1.5217547040958272,0.0,0.0,0.0,0.0,,2.105141133119571,0.0,8.088374096960894,0.0,0.0,RB
4.76951302638196,3.0872923249764805,0.0,0.0,0.0,0.0,2.0,,1.0,2.0,0.0,-0.8703175613649982,3.23896789184936,1.1854067032414402,9.88110632314052,4.0,1.011,1.116,0.0,0.0,0.0,1.24798929728312,1.0,0.0,0.0,0.0,2.2359250809818403,0.014,0.0,10.31150232366508,1.7397591888702,0.0,0.0,0.0,1.0,3.7038180538130403,2.798838755218519,0.0,8.276545134532599,0.0,0.0,RB
4.400167558005676,3.412871385490973,0.0,0.0,0.0,0.0,0.0,,2.0,4.0,0.0,-0.24453613245614317,4.593290961504124,4.4266046853792504,10.740344574749738,8.0,0.9765147403199177,1.1385388729256964,0.0,0.0,0.0,1.2006112707430334,,0.0,0.0,0.0,,0.0,0.0,23.850772243384927,16.925019980717178,0.0,0.0,0.0,0.0,3.623636773583589,1.895954342352945,0.0,9.163404906264187,0.0,0.0,RB
4.414,3.1347369583128035,0.0,0.0,0.0,0.0,1.0,46.20115877395241,0.0,0.0,0.0,0.0,2.883928156014951,0.802,9.183,0.0,0.9979327911107604,1.1119976824520952,0.0,0.0,0.0,1.264136735326384,1.0,0.0,0.0,0.0,2.101,-0.07998609471257112,0.0,0.0,0.975,0.0,0.0,0.0,0.0,3.565960601685618,,0.0,7.810911933179617,0.0,0.0,RB
